1366,BYRD Robert Carlyle,WV,D
4812,INOUYE Daniel Ken,HI,D
9369,THURMOND James Strom,SC,R
10808,KENNEDY Edward Moore (Ted),MA,D
11044,ROTH William Victor Jr.,DE,R
11204,HOLLINGS Ernest Frederick,SC,D
12109,STEVENS Theodore Fulton (Ted),AK,R
13039,SARBANES Paul Spyros,MD,D
13056,BREAUX John Berlinger,LA,D
14009,COCHRAN William Thad,MS,R
14031,LOTT Chester Trent,MS,R
14101,BIDEN Joseph Robinette Jr.,DE,D
14103,DOMENICI Pete Vichi,NM,R
14105,HELMS Jesse,NC,R
14203,BAUCUS Max Sieben,MT,D
14213,DODD Christopher John,CT,D
14226,GRASSLEY Charles Ernest,IA,R
14230,HARKIN Thomas Richard (Tom),IA,D
14240,JEFFORDS James Merrill,VT,R
14307,LEAHY Patrick Joseph,VT,D
14400,AKAKA Daniel Kahikina,HI,D
14440,MIKULSKI Barbara Ann,MD,D
14500,CHAFEE John Hubbard,RI,R
14503,HATCH Orrin Grant,UT,R
14506,LUGAR Richard Green,IN,R
14508,MOYNIHAN Daniel Patrick,NY,D
14617,DASCHLE Thomas Andrew,SD,D
14628,GRAMM William Philip (Phil),TX,R
14661,SNOWE Olympia Jean,ME,R
14709,LEVIN Carl,MI,D
14712,WARNER John William,VA,R
14809,CRAIG Larry Edwin,ID,R
14812,DORGAN Byron Leslie,ND,D
14826,GREGG Judd Alan,NH,R
14852,ROBERTS Charles Patrick (Pat),KS,R
14858,SCHUMER Charles Ellis (Chuck),NY,D
14871,WYDEN Ronald Lee,OR,D
14904,GORTON Thomas Slade III (Slade),WA,R
14907,MURKOWSKI Frank Hughes,AK,R
14908,NICKLES Donald Lee,OK,R
14910,SPECTER Arlen,PA,R
14912,BINGAMAN Jesse Francis Jr. (Jeff),NM,D
14914,LAUTENBERG Frank Raleigh,NJ,D
14920,KERRY John Forbes,MA,D
14921,McCONNELL Addison Mitchell (Mitch),KY,R
14922,ROCKEFELLER John Davison IV (Jay),WV,D
15011,BOXER Barbara,CA,D
15020,DeWINE Michael,OH,R
15021,DURBIN Richard Joseph,IL,D
15037,MACK Connie III,FL,R
15039,McCAIN John Sidney III,AZ,R
15054,REID Harry,NV,D
15071,TORRICELLI Robert Guy,NJ,D
15116,SMITH Robert C.,NH,R
15406,BUNNING James Paul David,KY,R
15424,INHOFE James Mountain,OK,R
15425,JOHNSON Timothy Peter (Tim),SD,D
15429,KYL Jon Llewellyn,AZ,R
15501,BOND Christopher Samuel (Kit),MO,R
15502,CONRAD Kent,ND,D
15503,GRAHAM Daniel Robert (Bob),FL,D
15633,THOMAS Craig Lyle,WY,R
15700,BRYAN Richard H,NV,D
15701,BURNS Conrad,MT,R
15702,KERREY J. Robert,NE,D
15703,KOHL Herbert H.,WI,D
15704,LIEBERMAN Joseph I.,CT,D
15705,ROBB Charles Spittal,VA,D
29108,ALLARD A. Wayne,CO,R
29141,SANTORUM Richard John (Rick),PA,R
29142,REED John F. (Jack),RI,D
29305,LINCOLN Blanche Lambert,AR,D
29306,HUTCHINSON Timothy,AR,R
29345,CRAPO Michael Dean,ID,R
29367,GRAMS Rod,MN,R
29523,BROWNBACK Sam Dale,KS,R
49101,WELLSTONE Paul David,MN,D
49300,FEINSTEIN Dianne,CA,D
49301,COVERDELL Paul,GA,R
49306,HUTCHISON Kathryn Ann Bailey (Kay),TX,R
49307,BENNETT Robert,UT,R
49308,MURRAY Patty,WA,D
49309,FEINGOLD Russell Dana,WI,D
49500,ABRAHAM Spencer,MI,R
49501,ASHCROFT John David,MO,R
49502,FRIST William H.,TN,R
49503,THOMPSON Fred Dalton,TN,R
49700,SESSIONS Jefferson Beauregard III (Jeff),AL,R
49701,CLELAND Joseph Maxwell (Max),GA,D
49702,LANDRIEU Mary L.,LA,D
49703,COLLINS Susan Margaret,ME,R
49704,HAGEL Charles Timothy (Chuck),NE,R
49705,SMITH Gordon Harold,OR,R
49706,ENZI Michael B.,WY,R
49900,FITZGERALD Peter G.,IL,R
49901,BAYH Evan,IN,D
49902,EDWARDS John,NC,D
49903,VOINOVICH George Victor,OH,R
94659,SHELBY Richard C.,AL,R
95407,CAMPBELL Ben Nighthorse,CO,R
49905,CHAFEE Lincoln Davenport,RI,R
49904,MILLER Zell Bryan,GA,D
