660,BENTSEN Lloyd Millard Jr.,TX,D
1252,BURDICK Quentin Northrup,ND,D
1366,BYRD Robert Carlyle,WV,D
1482,CANNON Howard Walter,NV,D
1569,CASE Clifford Philip,NJ,R
1721,CHURCH Frank Forrester,ID,D
2267,CURTIS Carl Thomas,NE,R
2822,EASTLAND James Oliver,MS,D
3255,FONG Hiram Leong,HI,R
3658,GOLDWATER Barry Morris,AZ,R
3824,GRIFFIN Robert Paul,MI,R
4148,HART Philip Aloysius,MI,D
4154,HARTKE Rupert Vance,IN,D
4660,HRUSKA Roman Lee,NE,R
4728,HUMPHREY Hubert Horatio Jr.,MN,D
4812,INOUYE Daniel Ken,HI,D
4851,JACKSON Henry Martin (Scoop),WA,D
4898,JAVITS Jacob Koppel,NY,R
5767,LONG Russell Billiu,LA,D
5913,MAGNUSON Warren Grant,WA,D
5967,MANSFIELD Michael Joseph (Mike),MT,D
6151,McCLELLAN John Little,AR,D
6249,McGEE Gale William,WY,D
6256,McGOVERN George Stanley,SD,D
6442,METCALF Lee Warren,MT,D
6611,MONTOYA Joseph Manuel,NM,D
6754,MOSS Frank Edward (Ted),UT,D
6831,MUSKIE Edmund Sixtus,ME,D
7229,PASTORE John Orlando,RI,D
7638,PROXMIRE William,WI,D
7722,RANDOLPH Jennings,WV,D
7847,RIBICOFF Abraham Alexander,CT,D
8301,SCOTT Hugh Doggett Jr.,PA,R
8764,SPARKMAN John Jackson,AL,D
8883,STENNIS John Cornelius,MS,D
9141,SYMINGTON William Stuart (Stuart),MO,D
9174,TALMADGE Herman Eugene,GA,D
9369,THURMOND James Strom,SC,R
10147,WILLIAMS Harrison Arlington Jr.,NJ,D
10450,YOUNG Milton Ruben,ND,R
10513,DOLE Robert Joseph,KS,R
10535,MATHIAS Charles McCurdy Jr.,MD,R
10557,SCHWEIKER Richard Schultz,PA,R
10562,STAFFORD Robert Theodore,VT,R
10571,BROCK William Emerson III,TN,R
10630,TAFT Robert Jr.,OH,R
10715,CULVER John Chester,IA,D
10736,HATHAWAY William Dodd,ME,D
10777,TUNNEY John Varick,CA,D
10800,BAYH Birch Evans,IN,D
10802,BYRD Harry Flood Jr.,VA,I
10804,FANNIN Paul Jones,AZ,R
10808,KENNEDY Edward Moore (Ted),MA,D
10810,McINTYRE Thomas James,NH,D
10813,MONDALE Walter Frederick,MN,D
10816,NELSON Gaylord Anton,WI,D
10817,PEARSON James Blackwood,KS,R
10818,PELL Claiborne de Borda,RI,D
10823,TOWER John Goodwin,TX,R
11029,McCLURE James Albertus,ID,R
11044,ROTH William Victor Jr.,DE,R
11048,SCOTT William Lloyd,VA,R
11200,BAKER Howard Henry Jr.,TN,R
11201,BROOKE Edward William III,MA,R
11202,HANSEN Clifford Peter,WY,R
11203,HATFIELD Mark Odom,OR,R
11204,HOLLINGS Ernest Frederick,SC,D
11205,PERCY Charles Harting,IL,R
12002,BEALL John Glenn Jr.,MD,R
12032,WEICKER Lowell Palmer Jr.,CT,R
12100,ALLEN James Browning,AL,D
12101,BELLMON Henry Louis,OK,R
12103,CRANSTON Alan,CA,D
12104,EAGLETON Thomas Francis,MO,D
12105,GRAVEL Maurice Robert (Mike),AK,D
12107,PACKWOOD Robert William,OR,R
12109,STEVENS Theodore Fulton (Ted),AK,R
13000,ABOUREZK James George,SD,D
13100,BUCKLEY James Lane,NY,I
13101,CHILES Lawton Mainor Jr.,FL,D
13102,STEVENSON Adlai Ewing III,IL,D
14077,LAXALT Paul Dominque,NV,R
14100,BARTLETT Dewey Follett,OK,R
14101,BIDEN Joseph Robinette Jr.,DE,D
14102,CLARK Richard Clarence (Dick),IA,D
14103,DOMENICI Pete Vichi,NM,R
14104,HASKELL Floyd Kirk,CO,D
14105,HELMS Jesse,NC,R
14106,HUDDLESTON Walter Darlington,KY,D
14107,JOHNSTON John Bennett Jr.,LA,D
14108,NUNN Samuel Augustus,GA,D
14300,BUMPERS Dale,AR,D
14302,FORD Wendell Hampton,KY,D
14303,GARN Edwin Jacob (Jake),UT,R
14304,GLENN John Herschel Jr.,OH,D
14305,HART Gary Warren,CO,D
14307,LEAHY Patrick Joseph,VT,D
14308,MORGAN Robert Burren,NC,D
14309,STONE Richard Bernard,FL,D
2087,COTTON Norris H.,NH,R
14310,DURKIN John Anthony,NH,D
