Id,Label,
1,Stanford University,
2,UC Berkeley,
3,MIT,
4,California Institute of Technology,
5,Harvard University,
6,Cornell University,
7,Carnegie Mellon University,
8,Princeton University,
9,Yale University,
10,University of Washington,
11,University of Illinois Urbana Champaign
12,University of Wisconsin Madison
13,University of Pennsylvania,
14,Rice University,
15,UCLA,
16,New York University,
17,University of Chicago,
18,University of Texas Austin
19,Brown University,
20,Columbia University,
21,University of Toronto,
22,University of Rochester,
23,University of Southern California,
24,Johns Hopkins University,
25,University of Massachusetts Amherst
26,UC San Diego,
27,University of Maryland College Park
28,University of Michigan,
29,University of North Carolina Chapel Hill
30,Duke University,
31,State University of New York Stony Brook
32,UC Irvine,
33,Dartmouth College,
34,University of Virginia,
35,Purdue University,
36,University of Minnesota Minneapolis
37,Georgia Tech,
38,Rutgers University,
39,University of Arizona,
40,Pennsylvania State University,
41,Ohio State University,
42,Northwestern University,
43,Washington University St. Louis
44,University of Pittsburgh,
45,Boston University,
46,University of British Columbia,
47,University of Oregon,
48,Syracuse University,
49,UC Santa Barbara,
50,University of Utah,
51,UC Davis,
52,Texas A&M,
53,University of Houston,
54,Michigan State University,
55,University of Waterloo,
56,University of Colorado Boulder
57,McGill University,
58,CUNY Graduate Center,
59,Case Western Reserve University,
60,UC Riverside,
61,University of Kansas Lawrence
62,Florida State University,
63,College of William and Mary,
64,Lehigh University,
65,University of Montreal,
66,Simon Fraser University,
67,University of Illinois, Chicago
68,University of Cincinnati,
69,UC Santa Cruz,
70,Rensselaer Polytechnic Institute,
71,Southern Methodist University,
72,University of Central Florida,
73,University of New Mexico,
74,North Carolina State University,
75,State University of New York, Buffalo
76,Stevens Institute of Technology,
77,Washington State University Pullman
78,McMaster University,
79,Brandeis University,
80,University of Alberta,
81,George Washington University,
82,Polytechnic Institute of NYU,
83,University of Iowa,
84,University of Delaware,
85,Iowa State University,
86,Vanderbilt University,
87,University of Florida,
88,George Mason University,
89,University of Notre Dame,
90,Wayne State University,
91,University of Calgary,
92,University of Louisiana Lafayette
93,University of Western Ontario,
94,Carleton University,
95,Queens University,
96,University of Wisconsin Milwaukee
97,Louisiana State University,
98,University of Texas Arlington
99,University of Ottawa,
100,University of Connecticut,
101,Oregon Health and Science University,
102,Arizona State University,
103,Kansas State University,
104,State University of New York Albany
105,University of South Florida,
106,Virginia Tech,
107,Portland State University,
108,University of South Carolina,
109,Missouri University of Science and Technology,
110,University of Oklahoma,
111,Indiana University,
112,Illinois Institute of Technology,
113,University of Tennessee Knoxville
114,University of Miami,
115,New Jersey Institute of Technology,
116,University of Kentucky,
117,State University of New York Binghamton
118,Colorado State University,
119,University of Colorado Denver
120,University of Texas Dallas
121,University of Rhode Island,
122,Toyota Technological Institute at Chicago,
123,Auburn University,
124,Drexel University,
125,Oregon State University,
126,University of Manitoba,
127,University of Regina,
128,University of Nebraska Lincoln
129,University of Saskatchewan,
130,Florida Atlantic University,
131,University of Texas San Antonio
132,University of Denver,
133,University of Maryland Baltimore County
134,Oakland University (Michigan),
135,University of Maine,
136,Clarkson University,
137,New Mexico State University,
138,University of Memphis,
139,University of Victoria,
140,Concordia University Montreal
141,University of Missouri Kansas City
142,University of Missouri Columbia
143,Dalhousie University,
144,Virginia Commonwealth University,
145,Worcester Polytechnic Institute,
146,Old Dominion University,
147,University of Texas El Paso
148,Naval Postgraduate School,
149,University of Massachusetts Boston
150,University of Wyoming,
151,York University,
152,University of Georgia,
153,Mississippi State University,
154,Tufts University,
155,Florida International University,
156,Southern Illinois University Carbondale
157,Ohio University,
158,Claremont Graduate University,
159,Catholic University of America,
160,Clemson University,
161,University of Massachusetts Lowell
162,Oklahoma State University,
163,University of North Carolina Charlotte
164,University of Alabama Birmingham
165,Santa Clara University,
166,University of Hawaii Manoa
167,Temple University,
168,University of Toledo,
169,Michigan Technological University,
170,University of New Hampshire,
171,Montana State University,
172,University of New Brunswick,
173,Wright State University,
174,Western Michigan University,
175,Northeastern University,
176,University of Alabama Huntsville
177,University of Idaho Moscow
178,Texas Tech University,
179,University of Tulsa,
180,University of Mississippi,
181,Brigham Young University,
182,Long Island University,
183,University of Southern Mississippi,
184,University of Colorado Colorado Springs
185,Colorado School of Mines,
186,Georgia State University,
187,University of Nevada Las Vegas
188,Kent State University,
189,Memorial University of Newfoundland,
190,Utah State University,
191,DePaul University,
192,North Dakota State University,
193,Nova Southeastern University,
194,University of Arkansas Fayetteville
195,University of Bridgeport,
196,University of Louisville,
197,University of Nebraska Omaha
198,Florida Institute of Technology,
199,University of Arkansas Little Rock
200,Rochester Institute of Technology,
201,Pace University,
202,New Mexico Institute of Mining and Technology,
203,University of Nevada Reno
204,University of Alabama Tuscaloosa
205,University of North Texas Denton
