4812,INOUYE Daniel Ken,HI,D
14009,COCHRAN William Thad,MS,R
14203,BAUCUS Max Sieben,MT,D
14226,GRASSLEY Charles Ernest,IA,R
14230,HARKIN Thomas Richard (Tom),IA,D
14307,LEAHY Patrick Joseph,VT,D
14400,AKAKA Daniel Kahikina,HI,D
14440,MIKULSKI Barbara Ann,MD,D
14503,HATCH Orrin Grant,UT,R
14506,LUGAR Richard Green,IN,R
14651,NELSON Clarence William (Bill),FL,D
14661,SNOWE Olympia Jean,ME,R
14709,LEVIN Carl,MI,D
14806,COATS Daniel Ray,IN,R
14852,ROBERTS Charles Patrick (Pat),KS,R
14858,SCHUMER Charles Ellis (Chuck),NY,D
14871,WYDEN Ronald Lee,OR,D
14912,BINGAMAN Jesse Francis Jr. (Jeff),NM,D
14914,LAUTENBERG Frank Raleigh,NJ,D
14920,KERRY John Forbes,MA,D
14921,McCONNELL Addison Mitchell (Mitch),KY,R
14922,ROCKEFELLER John Davison IV (Jay),WV,D
15011,BOXER Barbara,CA,D
15015,CARPER Thomas Richard,DE,D
15021,DURBIN Richard Joseph,IL,D
15039,McCAIN John Sidney III,AZ,R
15054,REID Harry,NV,D
15408,CARDIN Benjamin Louis,MD,D
15424,INHOFE James Mountain,OK,R
15425,JOHNSON Timothy Peter (Tim),SD,D
15429,KYL Jon Llewellyn,AZ,R
15502,CONRAD Kent,ND,D
15703,KOHL Herbert H.,WI,D
15704,LIEBERMAN Joseph I.,CT,D
20101,BOOZMAN John,AR,R
20115,KIRK Mark Steven,IL,R
20735,GILLIBRAND Kirsten,NY,D
29142,REED John F. (Jack),RI,D
29147,SANDERS Bernard,VT,I
29345,CRAPO Michael Dean,ID,R
29373,MENENDEZ Robert,NJ,D
29386,PORTMAN Robert Jones (Rob),OH,R
29389,BROWN Sherrod,OH,D
29512,CHAMBLISS Saxby,GA,R
29534,WICKER Roger F.,MS,R
29537,ENSIGN John Eric,NV,R
29548,BURR Richard M.,NC,R
29555,COBURN Thomas Allen,OK,R
29566,GRAHAM Lindsey O.,SC,R
29722,MORAN Jerry,KS,R
29732,STABENOW Deborah Ann,MI,D
29735,BLUNT Roy,MO,R
29754,THUNE John,SD,R
29906,UDALL Mark,CO,D
29909,ISAKSON Johnny,GA,R
29918,VITTER David,LA,R
29924,UDALL Thomas (Tom),NM,D
29935,TOOMEY Patrick Joseph,PA,R
29936,DeMINT James W.,SC,R
39310,CANTWELL Maria E.,WA,D
40103,NELSON Earl Benjamin (Ben),NE,D
40300,MURKOWSKI Lisa,AK,R
40301,PRYOR Mark,AR,D
40304,ALEXANDER Lamar,TN,R
40305,CORNYN John,TX,R
40700,KLOBUCHAR Amy,MN,D
40701,McCASKILL Claire,MO,D
40702,TESTER Jon,MT,D
40703,CASEY Robert (Bob) Jr.,PA,D
40704,WHITEHOUSE Sheldon,RI,D
40705,CORKER Robert (Bob),TN,R
40706,WEBB James H. (Jim),VA,D
40707,BARRASSO John A.,WY,R
40900,BEGICH Mark,AK,D
40902,RISCH James,ID,R
40904,FRANKEN Al,MN,D
40905,JOHANNS Mike,NE,R
40906,SHAHEEN Jeanne,NH,D
40907,HAGAN Kay,NC,D
40908,MERKLEY Jeff,OR,D
40909,WARNER Mark,VA,D
40910,BENNET Michael F.,CO,D
40913,BROWN Scott P.,MA,R
40915,MANCHIN Joe III,WV,D
40916,COONS Christopher A.,DE,D
41101,BLUMENTHAL Richard,CT,D
41102,RUBIO Marco,FL,R
41104,PAUL Rand,KY,R
41106,AYOTTE Kelly,NH,R
41107,HOEVEN John,ND,R
41110,LEE Mike,UT,R
41111,JOHNSON Ron,WI,R
49300,FEINSTEIN Dianne,CA,D
49306,HUTCHISON Kathryn Ann Bailey (Kay),TX,R
49308,MURRAY Patty,WA,D
49700,SESSIONS Jefferson Beauregard III (Jeff),AL,R
49702,LANDRIEU Mary L.,LA,D
49703,COLLINS Susan Margaret,ME,R
49706,ENZI Michael B.,WY,R
94659,SHELBY Richard C.,AL,R
20730,HELLER Dean,NV,R
41112,SCHATZ Brian Emanuel,HI,D
